Comment,Category,Value,Sentiment
I think that the biggest problem in the Moroccan parliament is a lot of delay in taking laws in the interest of the citizen and the state so His Majesty King Mohammed VI may God assist him is our guardian to interfere directly in proposing laws that he deems appropriate and the parliament reviews them for a specific time and all the teams show their opinion and in the end the final decision of His MajestyMy perspective is that a parliament must be a consultative role in the sense of every parliamentarian who is aware of the conditions of its region and what has become for her to give suggestions and consultations and at the end of His Majesty the decision is the decision of the parliamentarian the role of a consultant for a sake of development and a quick renaissance that made us a consultative between you,politique,0.75343144,Neutral
Oh peace on the wheels of Parliament strength durability and service,politique,0.50473243,Neutral
Al -Walawiya for the problem of medical students to pass the exams smoothly before it is too late the ministry must respond with the increase in compensation,politique,0.7333248,Neutral
And Sero went out to the students they remained blowing and pushing them to the strikes,politique,0.8352677,Neutral
Suitable for the party to find its place in the political scene,politique,0.69383466,Neutral
The state loses millions to form every student of these and at the expense of the taxpayers then when they graduate they either refuse to work in distant places or leave abroad to serve others or hardly open a private clinicUnfortunately students' strikes are a kind of goat,politique,0.9449114,Negative
Even Mattaiha from the wedding house never demands the quality of training,politique,0.5368399,Negative
The curricula The responsible ministry has the right to underlie the specialists according to scientific global and societal developments No one can direct the course of training not students no parents parties,politique,0.7128377,Neutral
The ministry wants to limit the migration of doctors by making the training years within the limits of years and students do not want this in order to have the possibility of migration and work abroad It is not reasonable for a student to be formed for a period,politique,0.75923306,Negative
We hope that the Socialist Union Party returns to the silence appreciation and respect that the Moroccans had and return to a struggle for the benefit of the country and not the interest of people or the self even at the expense of making concessions for the sake of the public good,politique,0.5650416,Neutral
The simplest requirement is to return to the legal hour Greenwich in which the two elected unfortunately failed let alone development projects fuel and high costs,politique,0.8219514,Negative
After Abdel -Rahim Bouabid Bangalun and Al -Yousifi may God have mercy on them No president was able to take their position for the Union Party he was unable to take his fold like the progressive and socialist parties,politique,0.54014057,Neutral
Hypocrisy,politique,0.9387399,Negative
Frankly I yearn for a time to thank the national socialism the dove party is now Akhenoush despite my respect for the good economic performance that he presented and the steadfastness of the Moroccan economy in front of hell inflation wars and chaos under the US administration Biden but there is a mistake and it is AkhenousIt is not like that the American level means not monitoring the Internet and easy access to the Internet spread extremism and false ideas from the enemies and from the people of the agent of the colored Islam who trade in things only in order to raise the viewsThe Masonic and Zionist and hundreds of thousands of Moroccans can be destroyed with this speech,politique,0.81610507,Negative
Oh God forgive us and to take the lesson other than where the cards of recovery and aid are given on the basis of a share for each team,politique,0.5964158,Neutral
You want to take projects to run and implement them from a hill of conscious young people engineers managers and adequate technologists and put them in the hands,politique,0.6565218,Neutral
It is clear that the country is still touching the path towards the best way to manage the local shame and its relationship to the center and the management of services is the definite test is that the transition towards the expanded regionalism is not and its dependence on the elected devices is not yet fulfilled the purpose so that the master is right for a right when he says that the opportunity is now favorable to openExtensive discussion on all the legislative and regulatory system related to groups whether at the level of the electoral system or at the level of the four laws of the regulatory law related to the election of members of the territorial groups and the regulatory laws of entities workers regions groups and provinces,politique,0.7249621,Neutral
Local development companies follow them from the Interior direct projects implemented by successful projects and international specifications,politique,0.62528735,Positive
You will come to see the Miziriya Diyal the third world a failed country that does not master disaster management or compensate its residents and the accommodation of Marmon in the tents,politique,0.932783,Negative
The honorable Moroccan Empire is a civilized civilization and human conscience,politique,0.59373873,Positive
Insulting appreciation and respect to Mr Abdel Latif Al -Hamoushi the pride and the pride of Morocco Morocco with merit and entitlement along with his comrades in the path in the outstanding outcome of all the standards internally and externally behind our slogan the immortal the homeland the king,politique,0.8653152,Positive
In order to influence and achieve goals people with a charisma and a strong past in integrity and defending the interests of the people must be sent and they have a balance in international relations because the addressee now knows everything about what he addresses,politique,0.6857641,Neutral
Unfortunately on the ground and in various regions no effect of the bill is appeared but there is a decline in development and urbanization and a decline in infrastructure and the spread of poverty and unemployment and the evidence is the rank of the country and the most important reasons is the lack of accountability and monitoring of the two things in exchange in workers and regions the outbreak of extravagance favoritism customs projects on paper and money that goes,regions,0.83790165,Negative
Glory be to God the same corruption that is located in Morocco are they innocent or guilty of God I know the judge will decide there,regions,0.54987025,Neutral
The occupation is no different from each other whether in occupied Palestine or Ceuta and Melilla the two occupied Moroccan gaps one style one policy and one approach,regions,0.6144003,Neutral
The Kingdom of Morocco is moving quickly towards the military and economic power and we will compete with the powerful countries which means that it will come a day when Spain will leave Ceuta and the occupied Milenia for fear of the Moroccan military power victory is coming God willing the Majestic the KingdomGreat,regions,0.506809,Neutral
This is the fate of everyone who does not work in his mind and does not respect the confidence in which the prison was placed and the people were granted to them the original Spanish citizenship after they were deprived of it before and allowed them to climb to the highest positions in the city and instead of working with his safety and dedication they completely the opposite and that brought the shame to themselves and the similarity to all their skin,regions,0.8879901,Negative
Unfortunately the National Initiative for Human Development is one of the large projects that came in order to take off the miserable situation deprived of the country but unfortunately some officials of the authority took this opportunity and made it a way to pass projects for their families and support the associations that divide the cake which made this big project still love its feet withoutTo be able to stand even if on the authority of the Kingdom and this is sure everyone touches it and I know you and this and that and that,regions,0.49439177,Neutral
An injury and a comment on the news the only country in the world in which the visit is still and the visit of health believes in something called Corona,regions,0.7005,Neutral
Non -use news explaining the new museum so that everyone knows its symptoms the duration of the virus custody and the methods of treatment and protection instead of reminding the number of people embezzled in various doses,regions,0.6358607,Neutral
The headquarters of the current security state in the city of resurrection exceeded time and it became necessary It is necessary to think about creating a new headquarters that keeps pace with the requirements of the times and keeps pace with the urban renaissance known to the present of Souss,regions,0.799668,Neutral
I salute the Director of National Security and thank him for caring and upgrading national security,regions,0.9728104,Positive
Many Moroccans have suffered and suffer from the nightmare of the index according to which the citizen deserves support but the methods of registration and the calculation of the threshold and the benefit of those who are not entitled to that and the exclusion of those who deserve all applications that must be reviewed as happened with the Ramid program from which merchants and those with cafes have been benefited fromThe factories are in twisted ways which is the same course that the social registry program and the unified registry have asked for people to add other people to the same family to memorize the threshold ratio and here is the stall of the Persians who came out of the tent as it says as the popular proverb says,societe,0.52913314,Negative
The value of support is millions of dirhams,societe,0.57008094,Neutral
This is not the real support for the allocation of a dirham as a real monthly grant for every newborn throughout his life in order to finish his study career similar to what most European countries and Canada do in the case of Hadchi for me especially for you,societe,0.532446,Negative
A good initiative that deserves to be noted for every citizen remains the right to a generous life so you must limit the blatant fee differences and to the incidents of the Zakat Fund to cooperate with the destitute category there are many benefactors in this country,societe,0.80580723,Positive
Support teaches dependence as it is not fair at all,societe,0.9426805,Negative
Originally direct support for families is the encouragement of begging instead of being said to the two heroes you must work,societe,0.48181045,Neutral
The homeland needs them Why do they want to work in Europe they want a certificate that is similar to the testimony of Europe where is the section,societe,0.5824276,Neutral
And the authorities and Jeddah also prevented a medical convoy for the benefit of a dweller in which medical and pharmacy students participate until the goodness of Bagho they would prevent him,societe,0.52593076,Neutral
It is supposed to create an appropriate environment in the education and education sector but this is the Minister of Education and the Minister of Higher Education the two sectors,societe,0.62482995,Neutral
Frankly when I saw the minister’s intervention and a letter I knew that he had taken the way of provocation that would not lead to a solution with the students if it was a minister who is unable to open the dialogue channels with students so how can he manage problems and strategic plans for the crisis management sector that gives an impression and a copy of the person’s right to the position of what the language of promises and threats is itThe easiest way to turn the convoy head,societe,0.72697556,Negative
The ministry is right to reduce the threshold and thus reduce the number of students and reduce the number of years of schooling,societe,0.7598496,Neutral
If matters remain rigid the state will not select the first year students who have a baccalaureate this year This is the risk of waiver the contracting system of professors and pride in that in front of parliamentarians as if everyone will demand the implementation of his requests,societe,0.6234345,Neutral
Students are on a mistake to insist on interfering in affairs that do not belong to them and the pedagogical engineering the medical formationConfronting the late party in return the party that bears the largest responsibility in what falls regarding the crisis that ravages the future of thousands of the best of our youth and wasted billions of capabilities of the Kingdom are the two sectorsFaith is to leave the field for those who have eligibility and competence in getting out of the issue from the bottleneck and ending this absurdity,societe,0.7240612,Negative
We have medicine in Morocco in a news that everyone was running for his own interests and did not care about the health of patients,societe,0.8470176,Negative
The ministry wants to limit the migration of doctors by making the training years within the limits of years and students do not want this in order to have the possibility of migration and work abroad It is not reasonable for a student to be formed for a period,societe,0.75923306,Negative
Whoever wants to settle in Western homes in a legal way it is a choice and a right but there are the value risks of those decisions from the right students the higher frameworks in higher education,societe,0.81273913,Neutral
There are poor students who need to end the study in order to remove the burden on their families and others are affordable who hinder the study does not concern them in a white year,societe,0.79700136,Negative
You did not sympathize with Ukraine students in their ordeal and left them for their unknown fate so as a Moroccan citizen I will not solidarity with you,societe,0.9551736,Negative
I understand the students and understand the students they want a university degree that entitles them to work even outside the homeland and with international specifications and the state does not want to migrate these competencies after disbursing the billions in order to form them in my view the solution is to support the health sector and raise wages and make the sector more attractive and impose a study fee on affordable families and thatThe university degree remains as they were as well as concluding agreements with countries to prevent their work outside Morocco for a period of ten years after their graduation except in the absence of work inside Morocco at the time,societe,0.65816075,Neutral
Everyone is equal in rights and duties so there is no difference between one who studies in Canada and the other in Morocco and after a while the deputies will be clear,societe,0.79007995,Neutral
If it is intended to reduce the years of medical training is to diminish the student's competencies so that he does not migrate abroad so how can a lacking doctor to work in Morocco and treat Moroccans,societe,0.6609107,Negative
Pharmacy students have nothing to do,societe,0.5681201,Negative
Mirawi is a minister of corruption in corruption cases since the head of the Judge Al -Qadi Ayyadah was problems with his request for medicine with university professors with employees failing to run his title Mirawi,societe,0.79619145,Negative
The two ministers are right so they can represent the people and defend it and the comprehensive coverage that the country's monarch and all the spectrum of the people wanted especially the sick and their religion know the reality of the situation and the painful nickname in this sector,societe,0.6628348,Neutral
The idea does not always succeed with the professors you may not succeed with tomorrow's doctors,societe,0.5463497,Negative
What does not understand most of the interlocutors is that it has nothing to do with years to work abroad so the doctor can find a work abroad with the diploma of two years the real problem in the quality of training that requires the increase in the training years to or years that the years of formation not reduced were since the sixties of the last century where it was notSinger no no a master no Corona no no because the emergence of new diseases and new technology requires an increase in the years of training,societe,0.4933177,Negative
At a time when states boast about the sanctity of the university and the sanctity of medical students in particular they are the pride of the country and the title of wisdom and bragging in front of international forums and even the safety valve for the health of citizens comes officials especially the ministers of health and higher education and they twist the hands of our students in medicine and pharmacyThey cut what the kings of Morocco built especially the late Hassan II who said at the opening of the College of Medicine in Rabat in the year that the doctors are the wise and may God have mercy on himThey prepare for what our owners built but we want our students to get out of the spiral of tampering to fill their seats in their colleges and exercise their struggle right without a concrete of their mouthsThe students ’struggle is checked by the country’s image,societe,0.684556,Neutral
A failure is a failure to resign or must be dismissed because he was unable to manage the crisis and find realistic solutions but if the year goes to the whiteness it must be held accountable because what it does is up to the level of crime against students and their families,societe,0.92781454,Negative
To the number of Tariqaidon to Europe as the politicians do they travel to Europe for the users,societe,0.83257866,Neutral
These students are provoking the government and behind the Moroccan people The protests receive the support of families In the past the families of the students were against the opinions of their children,societe,0.7140507,Negative
Instead of the threat and promises to a group of girls and sons of Morocco and pass the fallacies regarding the demands of the medical students of the Tabib the language of dialogue and mind instead of intransigence and ducks the black Sunnah waving on the horizon with all its material and pedagogical costs and is there a sane person who stops,societe,0.5836291,Negative
These days noticed an unprecedented attack on distinguished students such as medicine students or students of the preparatory departments because this is a hatred towards the distinguished frameworks and in the end when it settles in Western homes in a legal way with all the value risks of it you will be sought,societe,0.84917486,Negative
The state spent on students medicine this is a right but when the doctor graduates the money returns to its formation through consumption and travel or sending the hard currency to their dubbing or investing in Morocco unlike the heroine,societe,0.80400854,Neutral
The Ministry of Breaking this stubbornness withdrawing arrests and issuing a communication about what was responded to a point with a point and the students should observe the conditions of their families and their future and join the exams by one hundred percent,societe,0.7440869,Neutral
Unfortunately students of medicine and dental medicine do not care about the homeland which is agreed upon by something to form them as much as their interest in the means that allows them to migrate abroad after completing their studies with the money of the Moroccan people may God bless you O country such as these merchants in the health of citizens,societe,0.68695647,Negative
To get out of this dark tunnel the channels of dialogue between students and the guardian ministry must be returned with their commitment to cancel the zeros and cancel the arrests against students arrested discussing about consensual formulas in relation to other outstanding points,societe,0.7721043,Neutral
Also in order to get out of this tunnel some Moroccans must have a psychological contract towards the higher frameworks,societe,0.7984603,Neutral
Europe as their disposal is more than that the working conditions in European hospitals have nothing to do,societe,0.6047822,Negative
The issue is to settle in Western homes in a legal way with all the value risks resulting from it is the issue of its material and also moral relationship when you see that a group of the Moroccan people do not appreciate the efforts of the higher frameworks while sympathizing with the losers,societe,0.7639405,Negative
The solution is to create military royal academies to form healthy frameworks that guarantee the quality of training and the formation of training,societe,0.6993487,Neutral
Why does the ministry evade making an offer to improve training with the obligation to practice inside the country for a period of this is the opportunity to raise the years of training and from the level of our doctors,societe,0.6206859,Neutral
As for the abortion it was not permitted even the largest democratic countries because the Church prohibits it,societe,0.78022236,Negative
Mocturies and everyone is clear in the divine constitution and there is no need for this discussion and you have to discuss other things such as work culture economy and and to walk with our honorable kingdom to more brilliance and sophistication and all young people will marry and there is no need at that time abortion,societe,0.625873,Neutral
Abortion is something that is not in the hands of the conservatives nor the modernityQuranic and miscarriage is more than Sharia in the event that the woman is in it a danger to the health of the mother and her life This abortion is a crime punishable by law,societe,0.9414926,Negative
There is no power or power except with God Almighty the Great to cancel the miscarriage of women who are in danger during the pregnancy which may lead to a reason other than this it is called the killing of an innocent soul and it is against our Islamic values,societe,0.8848839,Negative
This does not call an invitation to abort its correct and true name is an invitation to kill the soul that God has forbidden except by their rights claiming to kill the soul unlawfully,societe,0.8474019,Negative
The strange thing in Islamic societies is to exercise serious things more dangerous than abortion and do not be built on such an uproar looting betrayal fraud forgery eating money unlawfully unlawful enrichment mismanagement of public affair and other practices that cause severe damage to society perhaps much higher than abortion if it is our curse and inThe boundaries of the community are filled with illegitimate children without an identity that spend their lives in misery and misery It is necessary to reach a solution to the abortion of abortion in an irreplaceable manner that contradicts Islamic and state legislation,societe,0.94881135,Negative
Expressing his effectiveness is evident in giving the most beneficial solution to society instead of indulging in the forbidden legal and illegal embryo victims of abortion most of them as a result of illegal relations so how will their future be in society and they are unidentified knowing that Al -Zaniah does not eliminate it by fighting it,societe,0.51583934,Neutral
The matter is not related to modernity or conservation These are ethical topics in the first place especially for a country that depends on its laws on Islamic law,societe,0.60090727,Neutral
They try to legislate adultery under the name of consensual sex then they legislate abortion put obstacles to a halal marriage,societe,0.6616876,Negative
In response to the owner of the comment we do not know the most beneficial solution as it is forbidden between and the permissible,societe,0.5072348,Neutral
Yes abortion but in circumstances such as rape,societe,0.658894,Negative
Is a person in his mother's womb may kill him because of his weakness and his inability to perceive and defend himself is the murderous criminal who shed blood we defend and his right to life and keep him away from the gallows in the name of human rights in which the logic is the utmost level of racism and the distinction between the children of Adam is its ugliest practiceWhoever has no ability to defend himself,societe,0.96936506,Negative
Abortion is an unforgivable crime in the right because the fetus is being if the rights of the end of time permitting satisfying relations and abortion on the pretext of women's rights in but this woman kills her fetus by preventing women to strike a thousand accounts before they are but to permit her to have qualified or adultery relations and we are permissible for her to abortCarrying it from consensual relations as this is corruption and criminality the prohibition of adultery is the correct prevention of the murder of the fetus by abortion,societe,0.9119336,Negative
In order not to end in definitions analysis prohibition ammonia fatwa and advisory fatwa the abortion is a reality that cannot be denied and denied and it is impossible to eliminate them not by legal laws not the situationTime we fall into severe consequences for society Ash Dana Shi Amenesseti so that we accuse her or believe them and we must address what can be treated by ourselves or benefit from other countries,societe,0.54712987,Neutral
These associations that call themselves are self -funded and funded by Western countries for a well -known purpose that are not even represented by the Moroccan people However they are covered by the media and their members are called to express in the media without the vast majority of the opponents of destructive ideas for the homeland and religion,societe,0.6916788,Negative
Great truth of God,societe,0.85702294,Positive
This biased global organization does not interfere in the affairs of the countries from which they are and interfere in countries that enact Islamic traditions and have benign nations and traditions such as Morocco so why did you not ask some western countries that criminalize abortionJust why do you interfere in his own affairs and his people and who gave her the right to do so and whoever entrusts us in order to speak in our name must be stopped when alone and expelled it permanently from Morocco because he always finds it contrary to his policy and methods and I want to sabotage the family the family peace and Moroccan social cohesion,societe,0.85912144,Negative
The case is not the case and it has no external agendas,societe,0.58131886,Neutral
The promises remain their achievement and a hostage to the personality of the owner,societe,0.85531,Neutral
What about the retirees in a ministry you will be retirement one day you must think about these also deserve to think about them as well,societe,0.81034076,Neutral
Citizen Lee Kayaclak for a stick I have the ruling of Daba months and there is still no way out,societe,0.5767066,Neutral
In all cases strikes of strikes in all sectors are always aimed at one pursuit of privileges and no one talks about improving working conditions and the interests of citizens personally I do not object to improving the employee's conditions but with the demand to improve the administration and flexibility in serving citizens and emerging in the country for the better,societe,0.605721,Neutral
To Mrs Salmi what do you think of these unusual immigrants who inhabited the forests in all forms of danger from intentional or spontaneous fires and from their disappearance and their shelter in them even after they made criminal acts and from their multiplication there and what do you think that we have their head and put them on the shame of Bash they will give us the forests,societe,0.70030636,Negative
A question to this human rights activist a homeless Moroccan can build a tent in the woods and live,societe,0.652124,Neutral
By peace on human rights youth they must be deported to their countries in Morocco,societe,0.777198,Negative
Meziane Bash Natfado Disaster Disaster Name is named,societe,0.756365,Neutral
They must be displaced to their countries with tightening observation,societe,0.6891169,Negative
The evacuation of the forests from the settlers in it is a preventive action if God estimated and the fires erupted the human and material damage and it is not unlikely that these are the ones who are in charge,societe,0.61996084,Neutral
The jurists must take the immigrants to their homes all the world headed by the rich countries complain about the ravages of immigration and immigrants except our country Tangier which is strange in the migrants in a strange way and their children and no one who asks about their nationalities or where did they comeReassuring,societe,0.5940108,Negative
The deportation should be from the forests to their lives direct,societe,0.5303251,Negative
The fire that we are randomly lit in the forest for barbecue is likely the cause of the fires that are sweeping so we must avoid this bad and dangerous habit,societe,0.90537655,Negative
Improvisation and hermacies dealing with immigrants will draw on Morocco problems that will not be able to solve in the future and will enter it into problems with international organizations especially after we see the second generation of immigrants and the number of Morocco is growingLegal,societe,0.52235574,Negative
Simple procedures to protect us from the risks to close the tap after use especially in public places such as cafes restaurants and institutions completely extinguish the fire after using it in the forests,societe,0.6921714,Neutral
Actually the collective and human rights work but he loves to be if you forgot what these illegal immigrants did in the area of Walad Zayyan station in the house instead of defending them it was noticed that a security place for them would like to deport them to their countries because they are as it is said a time bomb as it occurred at the Zian Sons Station where the force must be usedGeneral to save the situation,societe,0.5427406,Negative
The deportation should be done for their countries of origin and not for small Moroccan cities,societe,0.5464945,Negative
The message to the likes of these jurists and rights are why we do not hear a whisper about the rights of Moroccans and what is the goal behind this interest in immigrants and any type of others who are legitimate representing it from the threats to the security of Moroccans especially what we see from some of the scenes that show their confrontation with the police of violence,societe,0.7570557,Negative
African immigrants are the largest disaster and they are the cause of all calamities There is no power or strength except in God Wherever they are you find dirt cavity unpleasant odors and people who have their residence in these places they are thinking about leaving their residence,societe,0.9508279,Negative
They must be deported to their countries left them with forests or let them go to Europe or any other country except Morocco and there are no disobedience unless they transfer them to their homes to Baqoom and spend on the African Katafu who has a sentence and walks and serves it and leaves it as sleepy the house with Waladu,societe,0.5494867,Negative
You will find them at traffic lights they will live in a way that does not accept and they do not be ashamedAnd flies and abuse may God count us and yes the agent,societe,0.7311845,Negative
Open doors must be allocated to eliminate bribery branches favoritism and custody that ravages the security department and a large number of descriptions of the sector who do not wait for the monthly salary because what they win from bribery is estimated in millions and the Moroccan citizen must be taught in order not to give bribery to the police Jadarmi the doctor the partial or the judge the judiciaryBribery and Barack from the lie,societe,0.5903596,Negative
Good luck to the police they do a mighty work to combat crime and corruption Greetings dear brothers,societe,0.8807829,Positive
Preserving the family is linked to preserving the law of God to the line,societe,0.7690855,Neutral
Preserving the Moroccan family is to leave the breeding of children for their parents support purchasing power reviewing TV programs education curricula and the citizen of a citizen stadium,societe,0.8183244,Neutral
Things must be returned to their previous era meaning things in the hands of a man and work with the law of God and the Qur’an and the non -interference of associations in the problems of families,societe,0.8499738,Neutral
I watched a video that raised my anger because a person assaulted a woman in Tangier and raped her I always asked to tighten the penalty for rape and protect Moroccan women because I see in that lady my mother sister and daughter I am a man and I have been thrown into your videoAt least I said alternative and mitigating penalties especially if they are applied to rape criminals they will be a disaster by all measurements,societe,0.943167,Negative
It appears that the minister is better for her to take care of the holy children of the displaced children in the streets instead of proposing things that have nothing to do with reality,societe,0.61534685,Negative
Haha may God guide you dear,societe,0.6871744,Positive
To preserve the family job opportunities for couples must be provided with respectable salaries The material crisis is the origin of all evil and problems,societe,0.74515265,Negative
Leave things as God's law was inevitable who really wanted good for Moroccan women so let him defend the tightening of the rape and protecting them from harassment and assault punishing criminals and abolishing the alternative penal code,societe,0.59641147,Neutral
